Host : lxcgpu03.hep.ph.ic.ac.uk
Date : Thu Jun 11 05:14:20 BST 2026
Args : --config configs/tune.yaml
GPU  : Tesla V100-PCIE-32GB

Backend: gpu cuda  |  pipeline: raw
Loading 1000 events from /vols/cms/mm1221/cms/Data/d5/1k_mix/hdf5 ...
  1000 events in 0.6s
Config snapshot: results/param_tuning/tune_d5_2/config.json
Starting MOPSO: 60 particles × 60 iterations
Timing first iteration (60 particles × 1000 events)...
First iteration:  220.5s
Estimated total:  60 iters × 220.5s/iter = 3h 40m  (finish ~08:59)

  iter  3/60  214.6s/iter  elapsed 10m 43s  remaining ~3h 23m  pareto 38
  iter  6/60  213.6s/iter  elapsed 21m 21s  remaining ~3h 12m  pareto 58
  iter  9/60  212.3s/iter  elapsed 31m 50s  remaining ~3h 00m  pareto 85
  iter 12/60  211.3s/iter  elapsed 42m 23s  remaining ~2h 49m  pareto 97
  iter 15/60  210.3s/iter  elapsed 52m 50s  remaining ~2h 37m  pareto 112
  iter 18/60  210.1s/iter  elapsed 1h 03m  remaining ~2h 27m  pareto 126
  iter 21/60  208.9s/iter  elapsed 1h 13m  remaining ~2h 15m  pareto 144
  iter 24/60  209.1s/iter  elapsed 1h 24m  remaining ~2h 05m  pareto 156
  iter 27/60  208.5s/iter  elapsed 1h 34m  remaining ~1h 54m  pareto 162
  iter 30/60  208.7s/iter  elapsed 1h 44m  remaining ~1h 44m  pareto 174
  iter 33/60  208.2s/iter  elapsed 1h 55m  remaining ~1h 33m  pareto 186
  iter 36/60  209.2s/iter  elapsed 2h 05m  remaining ~1h 23m  pareto 199
  iter 39/60  209.7s/iter  elapsed 2h 16m  remaining ~1h 13m  pareto 216
  iter 42/60  209.3s/iter  elapsed 2h 26m  remaining ~1h 02m  pareto 225
  iter 45/60  209.5s/iter  elapsed 2h 37m  remaining ~52m 22s  pareto 236
  iter 48/60  208.6s/iter  elapsed 2h 47m  remaining ~41m 43s  pareto 246
  iter 51/60  208.6s/iter  elapsed 2h 58m  remaining ~31m 16s  pareto 256
  iter 54/60  208.3s/iter  elapsed 3h 08m  remaining ~20m 49s  pareto 267
  iter 57/60  209.1s/iter  elapsed 3h 19m  remaining ~10m 27s  pareto 278
  iter 60/60  209.5s/iter  elapsed 3h 29m  remaining ~0s  pareto 286

Done in 3h 29m  (209.6s/iter avg)  Pareto size: 286

      dc    rhoc       do       dm  z_scale  max_purity   min_eff  pen_ratio
  1.2540  2.8341   8.7394   2.8693   0.1365      0.0962    0.5687     3.4023
  1.6576  2.0249  14.1229   2.5437   0.3067      0.0965    0.5356     2.7898
  0.9668  2.6031  20.0000   3.0766   0.1531      0.0993    0.5727     3.8059
  1.5744  2.6127   5.0157   3.0620   0.2336      0.1003    0.5672     2.8676
  1.2060  2.9136  16.5186   3.3158   0.1214      0.1023    0.5787     4.2133
  1.2502  2.6988  20.0000   3.2140   0.1536      0.1047    0.5838     3.2449
  1.4758  2.6990  10.7547   2.6380   0.1277      0.1059    0.5711     3.1666
  1.7088  2.5719   5.7796   3.2779   0.2417      0.1073    0.5764     3.0966
  0.9446  2.5299   3.8827   3.5387   0.1131      0.1083    0.5846     4.4501
  1.7629  2.3400  15.2111   3.1053   0.2630      0.1118    0.5741     2.9349
  1.0218  2.5272   6.4983   3.4028   0.1013      0.1130    0.5916     3.8552
  1.0629  2.6523  16.4720   2.8272   0.0750      0.1135    0.5864     3.5793
  1.4426  2.3168   7.5298   2.6958   0.1374      0.1162    0.5880     3.1338
  0.9527  2.0348  14.7367   3.4166   0.1667      0.1177    0.6016     3.4396
  1.1487  1.9515  19.2881   2.6014   0.1792      0.1192    0.5718     2.8663
  1.3258  3.1336  16.9484   2.4670   0.0100      0.1197    0.5795     2.8182
  0.9617  2.2466  20.0000   3.3424   0.1042      0.1256    0.6094     3.3517
  1.0525  2.2141   9.4262   3.1544   0.0884      0.1268    0.6107     3.4542
  1.0352  1.8990  20.0000   2.5535   0.1173      0.1291    0.5900     2.7387
  1.1152  2.7164  20.0000   3.0066   0.0100      0.1306    0.5969     3.0712
  0.8948  2.3502  17.1640   3.0818   0.0100      0.1351    0.6059     2.7262
  0.9956  2.3442  16.6535   3.0229   0.0100      0.1388    0.6088     3.1554
  0.8113  2.0355  17.6135   3.0918   0.0700      0.1396    0.6141     3.1859
  0.9200  1.6232   9.1885   3.2407   0.1146      0.1486    0.6320     3.0966
  1.4347  2.4952  18.2391   2.5005   0.0100      0.1514    0.6093     2.6696
  1.1972  2.0939  20.0000   2.9681   0.0611      0.1523    0.6182     2.9664
  0.5850  1.5497  16.2485   2.7631   0.0968      0.1524    0.6112     2.8134
  1.3321  1.8175  15.9145   2.7997   0.0911      0.1530    0.6238     3.0545
  1.1834  2.2075  17.7093   2.6574   0.0100      0.1540    0.6196     2.8805
  1.3676  2.2335   7.6952   2.6933   0.0168      0.1544    0.6177     2.8489
  0.8046  1.8600  19.4795   2.9506   0.0342      0.1574    0.6244     3.0076
  0.7919  1.7365   8.0435   2.9902   0.0100      0.1599    0.6276     2.7911
  1.3789  1.5692  16.1724   3.1397   0.1271      0.1654    0.6343     3.1502
  0.9943  1.6024  19.2655   3.2030   0.0853      0.1658    0.6426     3.1210
  1.2448  2.1273  20.0000   2.4067   0.0100      0.1669    0.6129     2.7556
  1.1218  1.5328  20.0000   2.9543   0.1029      0.1690    0.6361     2.9006
  1.0991  1.9738  20.0000   2.3243   0.0100      0.1697    0.6094     2.7445
  0.5903  1.6425  20.0000   3.4206   0.0348      0.1711    0.6365     2.7192
  0.9424  1.5525  19.3144   3.2107   0.0765      0.1711    0.6447     2.8360
  1.0831  1.5314  18.4838   3.2730   0.0769      0.1766    0.6439     2.8065
  0.8825  1.1951  20.0000   3.3462   0.1456      0.1835    0.6524     3.4725
  1.0783  1.4434  20.0000   3.0511   0.0791      0.1846    0.6466     2.9508
  0.6442  1.2112  20.0000   3.3825   0.1169      0.1875    0.6514     3.4265
  0.8235  1.3838  12.1221   2.9765   0.0453      0.1926    0.6471     3.0796
  0.8797  1.0687  20.0000   3.3859   0.1677      0.1932    0.6588     3.6516
  0.8473  1.3729  19.5982   3.2548   0.0100      0.2012    0.6568     2.9957
  1.0882  1.4316  18.4865   3.0387   0.0100      0.2019    0.6469     2.9865
  0.9305  1.0365  20.0000   3.4924   0.1061      0.2127    0.6652     3.7416
  0.9809  1.2763  20.0000   2.8080   0.0100      0.2186    0.6599     3.2873
  0.7068  1.1410  20.0000   3.1255   0.0100      0.2232    0.6685     3.3157
  0.6255  1.0164   9.2706   3.1926   0.0100      0.2320    0.6727     3.5276
  0.5362  1.0622  20.0000   3.2136   0.0100      0.2325    0.6738     3.4106
  0.6970  0.9310  20.0000   3.3181   0.0100      0.2503    0.6799     3.5476
  0.6725  0.4680  20.0000   3.4445   0.2308      0.3060    0.6835     5.0259
  0.5627  0.6272  20.0000   3.3062   0.0100      0.3061    0.6974     4.1712
  0.3886  0.5212  17.5381   3.1378   0.0100      0.3335    0.7054     4.7673
  0.5451  0.4277  20.0000   3.4711   0.0100      0.3498    0.7055     4.8144
  0.8670  0.4902  20.0000   2.8839   0.0100      0.3566    0.7085     4.8655
  0.3566  0.4623  19.8634   2.9471   0.0100      0.3613    0.7100     5.2562
  1.1023  0.2572  19.8061   3.1982   0.0720      0.3995    0.7133     5.5579
  0.5276  0.2127  20.0000   3.4374   0.0100      0.4334    0.7233     5.9129
  0.0100  0.2325  20.0000   2.8443   0.0100      0.4505    0.7254     6.8767
  0.7606  0.1000  20.0000   3.3006   0.1074      0.4725    0.7268     7.5364
  0.6818  0.1000  18.0046   3.4673   0.0745      0.4769    0.7263     7.0025
  0.7259  0.1000   8.8868   3.3140   0.0100      0.4830    0.7285     7.4149
  0.5717  0.1000  20.0000   3.3751   0.0100      0.4842    0.7294     7.1282
  0.8385  0.1000  20.0000   3.1948   0.0100      0.4852    0.7319     7.2287
  0.5482  0.1000  19.5798   3.3696   0.0100      0.4853    0.7310     7.1862
  0.5260  0.1000  20.0000   3.3564   0.0100      0.4865    0.7325     7.2069
  0.7158  0.1000  13.3647   3.2096   0.0100      0.4867    0.7359     7.5444
  0.4189  0.1000  20.0000   3.4123   0.0100      0.4894    0.7336     7.1699
  0.3748  0.1000  20.0000   3.1476   0.0551      0.4918    0.7373     7.7638
  0.4012  0.1000  20.0000   3.2263   0.0100      0.4951    0.7375     7.6012

Pareto front  → results/param_tuning/tune_d5_2/pareto_front.parquet
CSV snapshot  → results/param_tuning/tune_d5_2/checkpoint/pareto_front.csv
Checkpoint    → results/param_tuning/tune_d5_2/checkpoint/mopso.pkl
